us_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,HIGHDEG,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN
60,Texas A&M University,46.4,47.2,58.3,49.3,45.5,50.9,50657,21.4,9%,47 : 53,4,0.6947,0.6947,520,630,550,660,490,610,575,605,550,23,29,22,29,24,29,6,8,26,26,27,7,1182,1182,43931,0.6791,0.0275,0.1964,0.0495,0.0029,0.001,0.0288,0.013,0.0019
61,Yeshiva University,51.7,28.4,30.1,78.8,-,50.9,6753,5.5,7%,53 : 47,4,0.8216,0.8216,550,680,550,690,540,670,615,620,605,23,29,24,31,22,29,NULL,NULL,26,28,26,NULL,1217,1217,2887,0.9193,0.0007,0.0042,0.0007,0,0,0.0035,0.0578,0.0139
62,Stony Brook University,38.8,52.8,29.9,82.9,31.6,50.2,21908,10.9,24%,50 : 50,4,0.3948,0.3948,550,650,600,700,540,650,600,650,595,26,30,24,30,26,31,7,8,28,27,29,8,1253,1253,15724,0.3782,0.0614,0.1032,0.2447,0.0015,0.0015,0.0224,0.0984,0.0887
63,University of Delaware,30,37.3,41.6,76.6,97.7,49.7,19262,15.9,10%,56 : 44,4,0.6468,0.6468,520,630,540,650,520,630,575,595,575,24,29,23,29,24,29,8,9,27,26,27,9,1178,1178,17729,0.7529,0.0531,0.0694,0.0426,0.0007,0.0011,0.0264,0.0416,0.0121
64,University of Texas at Dallas,32.6,46.8,32.2,85.2,40,49.5,16306,22.8,23%,44 : 56,4,0.5857,0.5857,550,670,600,700,NULL,NULL,610,650,NULL,25,31,24,32,26,32,NULL,NULL,28,28,29,NULL,1262,1262,13042,0.4035,0.0636,0.1677,0.265,0.0021,0.002,0.0389,0.0432,0.014
65,George Washington University,48.1,36.6,28,77.1,30,49.4,20541,12,16%,56 : 44,4,0.3308,0.3308,600,690,600,700,610,700,645,650,655,27,31,27,33,26,31,8,9,29,30,29,9,1297,1297,10121,0.6026,0.0653,0.0739,0.0948,0.002,0.0007,0.033,0.0879,0.0398
66,University of Iowa,49,26.4,40.9,65.7,-,49.3,27526,11.6,11%,52 : 48,4,0.8023,0.8023,540,620,620,680,NULL,NULL,580,650,NULL,25,28,25,28,25,28,NULL,NULL,27,27,27,NULL,1208,1208,21314,0.7159,0.0276,0.059,0.0303,0.0019,0.0009,0.0241,0.1,0.0403
67,Georgetown University,56.4,32.9,35.6,59.8,-,48.9,15408,8.5,14%,53 : 47,4,0.1697,0.1697,650,750,660,750,NULL,NULL,700,705,NULL,29,33,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,1398,1398,7261,0.5886,0.0638,0.0788,0.0919,0.0014,0.0008,0.0394,0.1073,0.0281
68,Rensselaer Polytechnic Institute,36.2,32.9,40.2,73,66.8,48.9,6671,15,16%,30 : 70,4,0.412,0.412,620,720,670,768,NULL,NULL,670,719,NULL,27,31,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,1366,1366,5379,0.6492,0.0232,0.0682,0.0996,0.0011,0.0006,0.0625,0.0736,0.0219
69,Colorado School of Mines,24.9,51.2,22.5,94.3,66,48,5287,18.2,12%,26 : 74,4,0.3743,0.3743,570,670,630,720,550,650,620,675,600,27,31,25,31,27,32,NULL,NULL,29,28,30,NULL,1298,1298,4197,0.7529,0.0117,0.0803,0.0467,0.0019,0.0002,0.0422,0.0434,0.0207
70,University of Illinois at Chicago,53.9,29.1,42.6,52.9,40.4,48,24313,9.2,17%,53 : 47,4,0.714,0.714,490,600,510,640,NULL,NULL,545,575,NULL,21,26,21,27,22,27,NULL,NULL,24,24,25,NULL,1092,1092,16601,0.3791,0.0781,0.2474,0.2251,0.0014,0.0042,0.0245,0.0197,0.0205
71,William & Mary,41.3,25.8,22.6,87.1,29.9,48,7867,11.8,7%,54 : 46,4,0.3321,0.3321,640,740,630,720,620,720,690,675,670,28,32,28,34,27,32,8,9,30,31,30,9,1358,1358,6235,0.595,0.0714,0.0914,0.0682,0.0019,0.0008,0.0472,0.0419,0.0823
72,Iowa State University,35.7,30.5,34.3,74.9,44,46.9,29991,17.4,11%,44 : 56,4,0.8252,0.8252,460,620,530,680,NULL,NULL,540,605,NULL,22,28,21,28,22,28,NULL,NULL,25,25,25,NULL,1145,1145,27112,0.7724,0.0253,0.0429,0.0269,0.0021,0.001,0.0195,0.0732,0.0367
73,University of Miami,48.7,33.1,27,69.7,-,46.9,15286,5.7,14%,50 : 50,4,0.4044,0.4044,600,700,630,720,590,690,650,675,640,28,32,29,34,27,33,NULL,NULL,30,32,30,NULL,1332,1332,11246,0.4302,0.0728,0.2171,0.0538,0.0015,0.0012,0.0268,0.1344,0.0623
74,University at Buffalo,46.3,50.7,40.6,52.1,42.4,46.6,25668,19,19%,47 : 53,4,0.5652,0.5652,500,600,550,660,NULL,NULL,550,605,NULL,23,28,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,1158,1158,19365,0.4951,0.0675,0.0663,0.1286,0.0021,0.0008,0.0203,0.1637,0.0557
75,Brandeis University,27.3,45.3,27.9,83.1,37.4,-,5495,12.6,22%,55 : 45,4,0.3704,0.3704,600,710,630,760,620,720,655,695,670,28,32,28,34,27,34,8,9,30,31,31,9,1347,1347,3603,0.501,0.0516,0.0655,0.1243,0.0006,0,0.028,0.1482,0.0808
76,Northeastern University,40.1,41,21.2,76.4,33.8,-,18539,15.1,26%,50 : 50,4,0.3231,0.3231,640,730,660,750,640,720,685,705,680,30,33,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,1394,1394,13204,0.4951,0.0344,0.0663,0.0996,0.0008,0.0002,0.0354,0.1761,0.0922
77,University of Georgia,45.4,36.2,40.1,46.8,31.3,-,33119,19.9,7%,57 : 43,4,0.5608,0.5608,560,660,580,670,570,670,610,625,620,26,30,25,32,25,29,7,8,28,29,27,8,1247,1247,26120,0.7297,0.074,0.052,0.0895,0.0009,0.0011,0.0299,0.0122,0.0107
78,Florida Institute of Technology,16.2,58.4,11.9,92.5,28.7,-,4408,13.7,26%,34 : 66,4,0.6045,0.6045,500,610,530,650,NULL,NULL,555,590,NULL,23,28,21,28,23,29,NULL,NULL,26,25,26,NULL,1153,1153,3191,0.4253,0.0526,0.0611,0.0185,0.0009,0.0013,0.0229,0.3027,0.1147
79,Tulane University,42.8,31.2,22.6,66.8,-,-,11381,8.4,8%,56 : 44,4,0.2643,0.2643,620,700,620,700,630,720,660,660,675,29,32,29,34,27,32,NULL,NULL,31,32,30,NULL,1341,1341,8290,0.718,0.0901,0.0585,0.0364,0.0039,0.0008,0.0293,0.0303,0.0327
80,University of Cincinnati,34.9,23.9,26.5,69.5,35.8,-,36108,15.7,6%,54 : 46,4,0.7325,0.7325,490,620,510,640,490,600,555,575,545,22,28,22,28,23,28,6,8,25,25,26,7,1141,1141,23360,0.7647,0.0764,0.026,0.0296,0.0022,0.001,0.0226,0.0412,0.0362
81,University of Missouri,40.4,30.8,45.8,45.2,31.1,-,29885,14.1,5%,53 : 47,4,0.7861,0.7861,520,640,520,650,NULL,NULL,580,585,NULL,23,28,23,29,23,27,NULL,NULL,26,26,25,NULL,1165,1165,26585,0.7989,0.0822,0.0332,0.0224,0.0025,0.0005,0.0253,0.0273,0.0077
82,University of South Florida,32.6,19.7,42,48.4,98.9,-,31424,21.5,10%,,4,0.4524,0.4499,530,620,550,640,510,610,575,595,560,23,28,23,28,24,27,7,8,26,26,26,8,1168,1154,30376,0.5493,0.1106,0.1961,0.0603,0.0021,0.0029,0.0322,0.0317,0.0147
83,University of Connecticut,42.5,40.5,29.7,50,32.6,-,25742,13,11%,51 : 49,4,0.5366,0.5321,550,650,580,680,NULL,NULL,600,630,NULL,25,30,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,1233,1215,17684,0.6349,0.0522,0.0784,0.0882,0.0014,0.0007,0.0256,0.0344,0.0843
84,University of Oregon,31.5,30.2,21.7,70.4,-,-,24418,20.2,11%,52 : 48,4,0.7417,0.7417,490,600,500,620,NULL,NULL,545,560,NULL,22,27,21,27,22,27,NULL,NULL,25,24,25,NULL,1108,1108,20473,0.6425,0.0199,0.0813,0.0513,0.0052,0.0048,0.0584,0.1242,0.0126
85,Colorado State University,30.8,29.8,32,55.8,-,-,26769,19,5%,52 : 48,4,0.7743,0.7743,510,620,510,630,NULL,NULL,565,570,NULL,22,27,22,28,22,27,NULL,NULL,25,25,25,NULL,1127,1127,22482,0.7495,0.021,0.096,0.019,0.0033,0.0009,0.0346,0.0251,0.0504
86,Drexel University,34.7,36.6,14.9,65.1,34.7,-,20713,10.8,18%,48 : 52,4,0.815,0.815,510,630,560,680,520,630,570,620,575,24,30,23,30,24,30,7,9,27,27,27,8,1197,1197,16257,0.5657,0.064,0.0564,0.1257,0.0015,0.0063,0.0263,0.1273,0.0267
87,Oregon State University,27.1,34.2,24.2,64.1,31,-,22578,16.8,9%,47 : 53,4,0.7894,0.7894,480,600,490,630,NULL,NULL,540,560,NULL,21,27,20,27,21,28,NULL,NULL,24,24,25,NULL,1102,1102,22349,0.6897,0.0128,0.0733,0.0662,0.0069,0.0042,0.0575,0.057,0.0325
88,University of Kansas,36.1,28.1,20.5,57.2,34.5,-,,,,,4,0.9228,0.9228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,28,21,28,22,28,NULL,NULL,25,25,25,NULL,1145,1145,18731,0.7481,0.0407,0.0641,0.0391,0.0053,0.001,0.0421,0.0521,0.0075
89,University of Montana,28.9,24.9,14.9,72.1,34.1,-,12470,15.2,3%,54 : 46,4,0.9423,0.9423,490,620,480,590,470,590,555,535,530,21,26,20,26,20,26,NULL,NULL,24,23,23,NULL,1090,1090,11630,0.8045,0.0076,0.0391,0.0119,0.0308,0.0021,0.0391,0.0193,0.0457
